,original_title,year_of_release,genres,summary,actors,Movie_COL
311,Ishq Click,2016,Drama Romance,This is the story of Aditya a struggling photographer holidaying in the beautiful valleys of Himachal Pradesh  where he meets a pretty girl Sophie and happens to click her while sight ...                    ,Sara Loren,Ishq Click Drama Romance This is the story of Aditya a struggling photographer holidaying in the beautiful valleys of Himachal Pradesh  where he meets a pretty girl Sophie and happens to click her while sight ...                     Sara Loren
312,M Cream,2014,Adventure Comedy Drama,A motley crew of university students set out on a journey in pursuit of a mythical form of hash  confronting a series of encounters that begin to unravel the myriad realities of rebellion.,Tom Alter,M Cream Adventure Comedy Drama A motley crew of university students set out on a journey in pursuit of a mythical form of hash  confronting a series of encounters that begin to unravel the myriad realities of rebellion. Tom Alter
313,Madaari,2016,Adventure Drama Thriller,When Nirmal loses his family in a disaster caused by government corruption  he embarks on a journey seeking accountability and revenge.,Irrfan Khan,Madaari Adventure Drama Thriller When Nirmal loses his family in a disaster caused by government corruption  he embarks on a journey seeking accountability and revenge. Irrfan Khan
314,Dishoom,2016,Action Adventure Comedy,When India's top batsman goes missing in the Middle East  two mismatched cops must team up for a 36-hour manhunt before the cricket final.,John Abraham,Dishoom Action Adventure Comedy When India's top batsman goes missing in the Middle East  two mismatched cops must team up for a 36-hour manhunt before the cricket final. John Abraham
315,Fever,2016,Crime Mystery,An assassin loses his memory in an accident. He wakes up knowing only his name  and a subconscious memory of a crime he has committed.,Rajeev Khandelwal,Fever Crime Mystery An assassin loses his memory in an accident. He wakes up knowing only his name  and a subconscious memory of a crime he has committed. Rajeev Khandelwal
316,Rustom,2016,Crime Drama Thriller,A naval officer returns home to find out about his wife's affair. Soon  he surrenders after murdering the lover but as the case unfolds  it starts to reveal his hidden intention.,Ileana D'Cruz,Rustom Crime Drama Thriller A naval officer returns home to find out about his wife's affair. Soon  he surrenders after murdering the lover but as the case unfolds  it starts to reveal his hidden intention. Ileana D'Cruz
317,Hai Apna Dil Toh Awara,2016,Comedy,Hai Apna Dil Toh Awara is a slice of life in the lives of three couples who have their own point of views about life and when their thoughts collide  it's a Bull vs Matador fight to the finish for them.,Sahil Anand,Hai Apna Dil Toh Awara Comedy Hai Apna Dil Toh Awara is a slice of life in the lives of three couples who have their own point of views about life and when their thoughts collide  it's a Bull vs Matador fight to the finish for them. Sahil Anand
318,Mohenjo Daro,2016,Action Adventure Drama,In 2016 BC  a kind farmer leads an uprising in the city of Mohenjo Daro.,Hrithik Roshan,Mohenjo Daro Action Adventure Drama In 2016 BC  a kind farmer leads an uprising in the city of Mohenjo Daro. Hrithik Roshan
319,Happy Bhag Jayegi,2016,Comedy Romance,After fleeing an arranged marriage  a feisty Indian woman finds herself stranded in Pakistan where the ex-governor's son helps reunite her with her boyfriend.,Diana Penty,Happy Bhag Jayegi Comedy Romance After fleeing an arranged marriage  a feisty Indian woman finds herself stranded in Pakistan where the ex-governor's son helps reunite her with her boyfriend. Diana Penty
320,Warrior Savitri,2016,Action Thriller,A modern day adaptation of the legendary fable of Savitri  Satyavaan and Yamaraj from Mahabharata  one of the major Sanskrit epics of ancient India. The modern day Savitri is adept in martial arts and will do anything to save her husband.,Niharica Raizada,Warrior Savitri Action Thriller A modern day adaptation of the legendary fable of Savitri  Satyavaan and Yamaraj from Mahabharata  one of the major Sanskrit epics of ancient India. The modern day Savitri is adept in martial arts and will do anything to save her husband. Niharica Raizada
321,A Flying Jatt,2016,Action Adventure Comedy,Jatt is a reluctant superhero who fights crime and protects people. He meets his match in the evil Raka  who he must vanquish to save the day.,Tiger Shroff,A Flying Jatt Action Adventure Comedy Jatt is a reluctant superhero who fights crime and protects people. He meets his match in the evil Raka  who he must vanquish to save the day. Tiger Shroff
322,Baar Baar Dekho,2016,Comedy Drama Romance,The highs and lows of a romantic relationship are examined through flashbacks and flash-forwards.,Sidharth Malhotra,Baar Baar Dekho Comedy Drama Romance The highs and lows of a romantic relationship are examined through flashbacks and flash-forwards. Sidharth Malhotra
323,Freaky Ali,2016,Comedy Sport,A debt collector becomes a golfing sensation.,Nawazuddin Siddiqui,Freaky Ali Comedy Sport A debt collector becomes a golfing sensation. Nawazuddin Siddiqui
324,Raaz Reboot,2016,Horror Mystery Romance,The fourth installment of a horror series that explores secrets  mysteries and human frailties.,Emraan Hashmi,Raaz Reboot Horror Mystery Romance The fourth installment of a horror series that explores secrets  mysteries and human frailties. Emraan Hashmi
325,Pink,2016,Drama Thriller,When three young women are implicated in a crime  a retired lawyer steps forward to help them clear their names.,Taapsee Pannu,Pink Drama Thriller When three young women are implicated in a crime  a retired lawyer steps forward to help them clear their names. Taapsee Pannu
326,Parched,2015,Drama,In the arid landscape of Rajashthan  four women navigate their way through personal and cultural difficulties.,Tannishtha Chatterjee,Parched Drama In the arid landscape of Rajashthan  four women navigate their way through personal and cultural difficulties. Tannishtha Chatterjee
327,Banjo,2016,Action Drama Music,A banjo player seeks fame  success  and respect.,Riteish Deshmukh,Banjo Action Drama Music A banjo player seeks fame  success  and respect. Riteish Deshmukh
328,Days of Tafree,2016,Comedy,The movie revolves around the lives of eight friends and their journey of growing up while they face the highs and lows of their relationships  love and romance  the end of their college days and the beginning of a new life.,Yash Soni,Days of Tafree Comedy The movie revolves around the lives of eight friends and their journey of growing up while they face the highs and lows of their relationships  love and romance  the end of their college days and the beginning of a new life. Yash Soni
329,Wah Taj,2016,Drama,Tukaram Marathe a farmer from Maharashtra comes to Agra with his family and claims that the land where Taj Mahal stands is his.,Shreyas Talpade,Wah Taj Drama Tukaram Marathe a farmer from Maharashtra comes to Agra with his family and claims that the land where Taj Mahal stands is his. Shreyas Talpade
330,Island City,2015,Drama,A collection of three comic-dramatic stories set in Mumbai. The first is about a diligent office worker who wins the office 'Fun Committee Award'  which entitles him to a whole day full of ...                    ,Vinay Pathak,Island City Drama A collection of three comic-dramatic stories set in Mumbai. The first is about a diligent office worker who wins the office 'Fun Committee Award'  which entitles him to a whole day full of ...                     Vinay Pathak
331,Ek Kahani Julie Ki,2016,Drama,Add a Plot »,Jimmy Sharma,Ek Kahani Julie Ki Drama Add a Plot » Jimmy Sharma
332,M.S. Dhoni: The Untold Story,2016,Biography Drama Sport,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Sushant Singh Rajput,M.S. Dhoni: The Untold Story Biography Drama Sport The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team. Sushant Singh Rajput
333,MSG the Warrior: Lion Heart,2016,Adventure Fantasy Sci-Fi,The story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. The story travels centuries apart as he emerges in another role as a modern Indian...                    ,Ashok Insan,MSG the Warrior: Lion Heart Adventure Fantasy Sci-Fi The story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. The story travels centuries apart as he emerges in another role as a modern Indian...                     Ashok Insan
334,Tutak Tutak Tutiya,2016,Comedy Horror,The Hindi version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi(L) (2016),RJ Balaji,Tutak Tutak Tutiya Comedy Horror The Hindi version of the trilingual horror-comedy wherein a husband finds out his wife is possessed. The Telugu version is Abhinetri (2016) and the Tamil version is Devi(L) (2016) RJ Balaji
335,Motu Patlu: King of Kings,2016,Adventure Comedy,Motu and Patlu are best friends. When trouble engulfs the village  they team up to save the day.,Saurav Chakraborty,Motu Patlu: King of Kings Adventure Comedy Motu and Patlu are best friends. When trouble engulfs the village  they team up to save the day. Saurav Chakraborty
